site_id,name,address,point_x,point_y,site_use,status_id,drain_acres,imp_percent,imp_acres,an_runoff,retro_type_id,bmp_type_ids,feasibility_id,dsgn_dfclt_id,wtrshd_bft_id,priority_id,source_ids
205,park,,-76.52255026,39.35087082,,2,0,0,0,0,,,,,,,7
206,morgan state,,-76.58271862,39.33835392,,2,0,0,0,0,,,,,,,7
207,morgan state,,-76.58157384,39.34449566,,2,0,0,0,0,,,,,,,7
208,golden ring ms,,-76.49910235,39.33308067,,2,0,0,0,0,,,,,,,7
209,firehouse,,-76.51227004,39.3218169,,2,0,0,0,0,,,,,,,7
210,herring run park,,-76.55475371,39.31903495,,2,0,0,0,0,,,,,,,7
211,herring run park,,-76.55678245,39.32095064,,2,0,0,0,0,,,,,,,7
212,herring run park,,-76.5575346,39.32154056,,2,0,0,0,0,,,,,,,7
213,brooklyn park er4003,brooklyn,-76.60055833,39.21744284,"extended detention basin, wetlands",1,,,,,,"5, 19",,,,,7
214,gwynns run er4000,gwynns run,-76.6536881,39.27496031,"extended detention basin, wetlands, debris collector",1,,,,,,"5, 19, 3",,,,,7
215,calverton middle school greening phase i,calverton middle school,-76.65910899,39.30006302,2.8 ac unused impervious area replaced with vegetation,1,,,2.8,,,8,,,,,7
216,bentalou elementary school greening phase i,bentalou elem,-76.65359381,39.29173324,0.69 ac unused impervious area replaced with vegetation,1,,,0.69,,,8,,,,,7
217,harlem park elementary school greening phase i,harlem park elementary,-76.64130356,39.29719616,0.72 ac unused impervious area replaced with vegetation,1,,,0.72,,,8,,,,,7
218,hilton elementary school greening phase i,hilton elem,-76.67367228,39.31912975,0.93 ac unused impervious area replaced with vegetation,1,,,0.93,,,8,,,,,7
219,west baltimore middle school greening phase i,west baltimore middle,-76.69878791,39.2832104,1.22 ac unused impervious area replaced with vegetation,1,,,1.22,,,8,,,,,7
220,gilmor elementary school greening phase i,gilmor elementary school,-76.64251707,39.30366325,0.39 ac unused impervious area replaced with vegetation,1,,,0.39,,,8,,,,,7
221,hamilton middle school greening phase ii,hamilton ms (sefton ave) (jhh),-76.55465783,39.3500449,1.80 ac unused impervious area replaced with vegetation,1,,,1.8,,,8,,,,,7
222,brehms lane elementary school greening phase ii,brehms lane elementary school,-76.56644519,39.32169624,1.70 ac unused impervious area replaced with vegetation,1,,,1.7,,,8,,,,,7
223,middle stony run er4008,wyndhurst ave w coldspring lane,-76.62647679,39.34491358,"stream restoration, utility protection, improve bio-habitat",1,,,,,,"15, 18, 7",,,,,7
224,upper stony run er4007,northern pkwy to wyndhurst ave,-76.6293394,39.35371913,"stream restoration, utility protection, improve bio-habitat",1,,,,,,"15, 18, 7",,,,,7
225,lower stony run er4010,coldspring lane to univ pkwy,-76.62600785,39.32294604,"stream restoration, utility protection, improve bio-habitat",1,,,,,,"15, 18, 7",,,,,7
226,biddison run phase i er4003,confluence with herring run,-76.54705296,39.3099963,"stream restoration, utility protection, improve bio-habitat",1,,,,,,"15, 18, 7",,,,,7
227,western run phase i er4014,green spring ave,-76.67284409,39.36466192,"stream restoration, utility protection, improve bio-habitat",1,,,,,,"15, 18, 7",,,,,7
228,ben franklin middle school greening phase iii,ben franklin middle school ps239,-76.59404147,39.23198528,3.01 ac unused impervious area replaced with vegetation,1,,,3.01,,,8,,,,,7
229,franklin square elementary school greening phase iii,franklin square elem school ps95,-76.64042939,39.29148972,1.39 ac unused impervious area replaced with vegetation,1,,,1.39,,,8,,,,,7
230,watershed 263 phase i,baltimore st & frederick ave b1,-76.64259438,39.2883019,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
231,watershed 263 phase i,nw cnr n. mount w. lexington b10,-76.64405699,39.29071612,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
232,barclay em school,2900 barclay st es/msps54,-76.61194353,39.32394433,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
233,curtis bay em school,4301 10th st,-76.59827042,39.22613004,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
234,mad cho stream restoration p1 (mc10),beechfield ave,-76.68589393,39.27814093,"stream restoration, utility protection, improve bio-habitat",1,,,,,,"15, 18, 7",,,,,7
235,watershed 263 phase i,nwcnr wfairmount &fulton ave c13,-76.64541398,39.28897877,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
236,watershed 263 phase i,alley bet nfulton nbruce st i1,-76.64474264,39.29146525,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
237,watershed 263 phase i,nwcnr w.fayettest n.mount st b13,-76.64393571,39.28972967,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
238,watershed 263 phase i,nwcnr nfulton wlexington st b15,-76.64541483,39.29084132,unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
239,charles street culvert repair,n charles st over remove,-76.62247815,39.34748981,culvert repair,1,,,,,,2,,,,,7
240,yorkwood elementary school greening phase iii,yorkwood elementary school,-76.58131652,39.36322209,xx ac unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
241,francis scott key em school greening phase - mpa,"francis scott key es/ms, ps #76",0,0,greening project only no asphalt removed - phill lee mpa,1,,,,,,8,,,,,7
242,windsor hills em school greening phase - mpa,"windsor hills es/ms, ps#87",0,0,xx ac unused impervious area replaced with vegetation,1,,,,,,8,,,,,7
