community_statistical_area_name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205
Lauraville,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$66,196",15.9187,13.1056,14.5568,15.5392,40.88,,8.3206,12.678571," $ 132,000 ",46,199,73.6,2.6369,1.6,,3.4 ,"4,475",32.4324,2.702702703,,0.00,0.45,,34.4741,52.8557,0.4469273743,610.9497207,62.12290503,8.01638,38.8658,,5.86654,32.5104,,,,,NA,0.0814797,NA,NA,NA,,,,604,358,474,,85.93,10.72,2.02,11.5894,10.0559,25.3165,,,,,,58.72,72.22,43.59,82.91,36.97,70.83,56.77966102,64.56692913,62.79069767,33.68421053,1.265822785,86.4,,6.609547124,,,,98.14814815,18.26484018,89.93,87.91946309,53.02013423,200,0.0,,4.58015,,,0.4888780249,,,,,76.1,5.6,2.9,11.0,16.0,77.1,372.1,1477.4,,,,,,,341.1553817,0.5703576958,0.570357696,0.5704,22,,67.7235,9.73307,22.5434,12.5658,9.9,55.36,34.73,131,5.34351145,249,1730,234,60.29515109,,,0,8.03213,15.261,46.5863,,,,,167,13.6071,1106,85.33249158,43.63748459,27.3771694,2.770308808,78.4417,9.16623,8.61978,2.97902,9.48352,43.5572,29.8431,17.1162,,,,0,,,,,,,75.2623,12.1902,10.7167,,0.02234636872,,,,,,,,0.793231,576,348,458,,18,198.3385254,1.466634075,46,2,1570,15.15151515
Loch Raven,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$47,992",24.5101,15.7698,25.0855,17.014,17.62,,13.7473,25.453001," $ 73,100 ",34,125,77.7,2.2706,0.6,,1.5 ,"4,228",43.3962,1.886792453,,0.00,0.00,,41.3382,50.6933,0,602.6490066,68.3538316,2.85977,43.6941,,8.36,34.681,,,,,NA,0.0653125,NA,NA,NA,,,,929,464,636,,97.09,0.64,1.58,10.8719,6.6810,24.3711,,,,,,66.67,69.87,56.42,82.12,31.67,61.16,61.07784431,62.65822785,66.36363636,47.61904762,0.786163522,86.58536585,,5.42118432,,,,99.73427812,22.3880597,86.31,88.0952381,44.04761905,173,0.0,,3.81735,,,0.1959375612,,,,,76.6,13.8,0.8,7.7,21.7,81.3,346.0,1075.8,,,,,,,286.4607145,0.1959375612,0.06531252,0.2613,5,,65.5608,9.96992,24.4693,13.1998,13.89,63.91,22.2,50,22,213,1806,201,54.90324697,,,0.195938,7.04225,12.2066,35.2113,,,,,170,11.1031,1271,85.48549388,40.99068171,22.46750702,1.959375612,65.03,12.6012,20.0575,1.61922,10.4205,43.2097,27.4615,18.9083,,,,2,,,,,,,67.0762,27.2473,22.0684,,0.02365184484,,,,,,,,0.692087,897,453,614,,43,91.26088359,0.3918751225,12,0,3328,14.00301861
Madison/East End,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$27,454",47.4237,14.0267,16.5076,10.5439,11.50,,29.3043,52.157080," $ 25,000 ",61,71,24.3,1.8845,20.1,,1.2 ,"3,237",87.013,0,,15.76,0.00,,42.2785,64.1227,4.942848316,153.8461538,13.59283287,14.96746,71.8417,,24.1614,46.5236,,,,,NA,0.642591,NA,NA,NA,,,,696,365,494,,93.18,1.54,4.63,18.3908,18.9041,53.2389,,,,,,42.54,47.54,34.55,65.45,24.27,49.04,44.23076923,52.08333333,48.71794872,29.03225806,2.834008097,69.31818182,,11.0989011,,,,72.38239757,37.97468354,82.61,84.7826087,39.85507246,173,4.0,,29.0935,,,1.285181853,,,,,68.7,12.9,5.2,9.5,32.0,174.0,474.8,1578.9,,,,,,,443.5162576,2.441845521,0.514072741,0.257,6,,44.085,15.9984,39.6586,26.627,37.99,55.94,6.07,186,1.075268817,228,1323,220,55.15695067,,,0,9.21053,17.5439,35.0877,,,,,185,23.7759,820,74.00611621,26.26549587,129.674849,4.498136486,38.6745,10.2587,40.2179,9.48706,15.7966,32.3196,17.8847,33.9991,,,,18,,,,,,,74.0935,15.6489,56.6317,,0.03089280198,,,,,,,,1.36178,675,363,481,,163,328.8159772,0.2570363706,6,4,474,154.6253823
Medfield/Hampden/Woodberry/Remington,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$58,210",19.1946,13.7248,18.6677,13.8251,34.59,,8.3357,16.309013," $ 175,000 ",29,334,64.8,1.2922,0.8,,3.8 ,"6,810",23.2323,1.346801347,,0.15,2.50,,31.397,43.3281,1.908957416,477.9735683,51.6886931,3.90381,51.4723,,9.08673,42.0405,,,,,NA,,NA,NA,NA,,,,521,249,311,,24.42,60.41,5.46,16.5067,18.4739,36.6559,,,,,,69.00,78.67,64.37,89.53,58.11,75.68,75.30864198,77.92207792,85.71428571,55,4.501607717,80.35714286,,3.051643192,,,,86.25954198,14.70588235,89.58,91.66666667,66.25,271,0.0,,1.70767,,,1.035196687,,,,,76.2,7.1,2.2,6.3,15.0,95.1,399.2,1016.5,,,,,,,391.7069243,0.9201748332,0.690131125,2.3579,156,,77.7402,5.36778,16.393,6.4588,14.47,34.11,51.42,537,16.75977654,893,9523,846,59.96282816,,,0.287555,5.15118,12.318,33.9306,,,,,592,34.0465,5034,74.6669318,42.53883711,36.63446055,2.070393375,63.9181,9.2437,9.70588,12.4895,22.9307,42.1324,21.6071,13.3298,,,,14,,,,,,,68.7492,18.7304,21.0639,,0.8663729809,,,,,,,,4.64286,501,242,309,,59,21.54724818,7.131354957,1431,4,14004,11.40054351
Midtown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$38,867",36.0125,15.0457,14.1089,9.18238,25.65,,8.7121,17.164179," $ 200,000 ",33,149,41.1,0.9590,2.9,,5.8 ,"3,441",35,3.333333333,,0.58,1.45,,31.7675,44.2221,62.77244987,282.4760244,12.20575414,5.77770,84.221,,12.3169,70.506,,,,,NA,0.133156,NA,NA,NA,,,,198,105,121,,75.94,13.68,6.60,15.6566,22.8571,41.3223,,,,,,48.84,77.42,72.50,92.68,30.30,60.61,54.54545455,64.28571429,64,35,4.132231405,78.78787879,,7.114624506,,,,98.38895282,6.41025641,80.51,85.59322034,52.54237288,114,0.0,,4.27489,,,1.797603196,,,,,75.7,11.2,2.9,2.3,12.5,109.1,347.0,1126.1,,,,,,,462.0505992,2.463382157,1.930758988,3.2623,569,,67.708,5.29042,26.978,7.24731,10.97,27.03,62,810,12.22222222,1087,12085,1039,60.9941103,,,0.266312,5.70377,13.7994,35.7866,,,,,772,51.3981,6548,65.09948311,40.97237329,37.9494008,1.997336884,50.4477,5.21913,22.2314,18.3318,27.8982,41.812,14.6913,15.5985,,,,30,,,,,,,44.3391,50.7459,34.6941,,0.1453065969,,,,,,,,3.77003,195,103,116,,183,76.55502392,7.190412783,1952,4,12496,20.0382355
Midway/Coldstream,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$34,523",41.0174,15.3896,19.1243,9.17579,15.29,,26.6092,42.607174," $ 17,005 ",28,70,36.4,1.8941,20.9,,1.3 ,"4,118",93.8776,3.06122449,,6.31,0.00,,36.1507,64.3662,0,149.1015056,28.41185041,16.44873,69.9293,,19.5345,49.148,,,,,NA,0.415628,NA,NA,NA,,,,733,419,558,,98.65,0.23,0.64,17.0532,21.4797,40.1434,,,,,,43.48,54.17,45.00,71.90,20.29,47.83,43.93939394,40.94488189,56.38297872,28.81355932,2.508960573,85,,10.05475361,,,,88.63636364,51.40186916,88.16,88.15789474,42.76315789,112,6.3,,17.4354,,,1.350789692,,,,,69.4,13.0,10.5,18.2,38.1,142.5,397.0,1771.4,,,,,,,392.3524522,2.078137988,0.623441397,0.2078,3,,53.1455,14.1988,32.4316,21.0839,26.78,66.1,7.12,281,4.62633452,230,1951,222,60.16528926,,,0.103907,7.82609,11.7391,35.2174,,,,,161,16.729,845,85.25164727,31.08041441,135.1828761,2.493765586,57.8896,7.48629,28.8157,3.03324,16.7473,37.2378,17.6186,28.3963,,,,20,,,,,,,68.3838,16.9672,38.9247,,0.2428363283,,,,,,,,2.77509,724,416,551,,6,184.5070423,0.4156275977,11,4,1243,110.0518716
Morrell Park/Violetville,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$38,210",37.3292,14.4647,18.1093,10.336,19.76,,12.1068,17.030260," $ 69,000 ",35,118,67.8,2.8218,2.2,,1.1 ,"3,154",56.7797,2.542372881,,0.63,0.95,,41.0803,46.9986,0,594.8002536,85.92263792,5.49081,58.7907,,11.7135,46.7425,,,,,NA,0.111557,NA,NA,NA,,,,446,253,235,,28.91,57.60,7.28,20.6278,22.5296,35.7447,,,,,,60.24,67.50,38.03,73.24,29.58,72.06,57.69230769,67.27272727,72.09302326,40,3.404255319,84,,5.388127854,,,,61.29032258,49.26108374,91.67,94.44444444,58.33333333,190,0.0,,4.51039,,,0.8924587238,,,,,73.0,10.1,0.0,19.5,21.7,142.6,429.7,898.1,,,,,,,101.0709505,0.2231146809,0.446229362,0.2231,4,,61.2566,9.79499,28.4738,13.7857,32.16,56.89,10.95,477,11.74004193,415,9827,385,69.71463639,,,0.111557,6.0241,16.6265,36.6265,,,,,246,27.4431,6307,57.10329549,34.91755577,36.59080768,2.008032129,66.7064,18.9568,9.86587,2.77198,21.0134,44.5306,16.155,18.301,,,,1,,,,,,,63.9522,23.1777,25.2847,,0.03170577045,,,,,,,,1.69896,433,235,234,,95,123.4652115,1.227130745,271,3,10650,20.07754085
Mount Washington/Coldspring,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$76,263",16.3383,9.40066,12.9721,10.6732,50.62,,6.0397,9.039548," $ 287,000 ",34,58,82.0,0.9836,0.1,,4.6 ,"1,830",19.6078,0,,0.00,1.64,,28.8603,33.7102,2.18579235,510.9289617,26.2295082,0.98619,29.9923,,3.09598,26.5093,,,,,NA,,NA,NA,NA,,,,192,75,73,,47.06,40.00,3.82,1.0417,4.0000,9.5890,,,,,,93.94,97.06,81.48,88.89,60.00,84.00,84.21052632,77.77777778,100,62.5,1.369863014,90,,1.79028133,,,,83.72093023,10.86956522,92.42,89.39393939,65.15151515,103,0.0,,0.172563,,,0.386996904,,,,,81.3,0.0,0.0,5.7,10.6,43.8,260.7,1591.2,,,,,,,290.6346749,0.580495356,0.193498452,1.161,25,,82.1484,3.66346,14.1881,4.26918,4.91,24.61,70.48,99,13.13131313,227,5681,207,62.8553959,,,0.193498,4.84582,9.69163,37.4449,,,,,159,30.7663,5118,94.50096899,55.72930018,13.73839009,3.289473684,82.2406,8.14121,7.78098,0,16.9308,44.9207,22.5504,15.598,,,,3,,,,,,,66.2151,28.202,10.1396,,0,,,,,,,,1.83718,185,72,72,,27,61.01694915,2.128482972,89,0,3544,4.360465116
North Baltimore/Guilford/Homeland,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$81,451",18.3065,10.126,11.4176,7.84564,52.30,,5.3392,7.632701," $ 325,000 ",33,271,74.7,0.8636,0.5,,4.6 ,"5,095",33.7553,1.265822785,,0.59,0.39,,29.6892,54.3756,3.336604514,477.9195289,19.82335623,2.90234,29.9473,,3.37838,26.4544,,,,,NA,,NA,NA,NA,,,,284,143,141,,36.97,51.58,4.05,4.5775,6.9930,17.0213,,,,,,97.78,96.49,87.80,92.68,78.57,90.48,80,87.23404255,91.89189189,57.14285714,2.127659574,73.07692308,,2.631578947,,,,100,0.7806401249,90.07,94.32624113,72.34042553,178,0.0,,0.537273,,,0.2863032524,,,,,83.9,1.5,0.0,1.9,7.2,51.3,193.5,1116.6,,,,,,,258.5318369,0.4008245534,0.858909757,1.0307,89,,56.6302,4.72909,38.6407,7.7072,3.89,20.22,75.9,234,16.66666667,459,4015,428,62.34271334,,,0,7.62527,12.854,42.9194,,,,,323,18.4952,2261,64.08754209,51.0244825,14.08612002,2.977553825,66.0896,7.00824,9.91205,14.6447,24.5149,48.6109,14.4074,12.4668,,,,5,,,,,,,65.0454,25.8173,16.7916,,0,,,,,,,,2.34539,278,138,131,,66,42.38833181,2.34768667,194,0,4931,7.676767677
Northwood,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$58,266",20.551,12.8326,17.7581,15.7577,33.10,,9.3390,14.818296," $ 90,000 ",36,176,80.4,2.6998,0.7,,2.1 ,"4,667",34.4,1.6,,0.00,0.43,,40.2466,51.0218,0.4285408185,704.9496465,94.49325048,4.17978,41.8194,,6.84973,34.1885,,,,,NA,0.0600853,NA,NA,NA,,,,690,364,548,,96.19,1.56,1.81,11.7391,9.3407,29.7445,,,,,,64.41,64.17,52.54,81.36,30.25,52.89,58.87096774,54.76190476,74.76635514,38.04347826,1.094890511,84.44444444,,7.269789984,,,,98.96275342,11.16071429,77.48,80.13245033,41.7218543,240,0.0,,4.89451,,,0.1201706423,,,,,76.2,17.7,0.0,5.5,18.8,90.4,301.6,1356.1,,,,,,,360.3917563,0.8411944962,0.420597248,0.4807,53,,53.9044,10.0733,36.0222,15.7451,11.97,63.23,24.8,63,22.22222222,177,3447,164,54.58422175,,,0.0600853,5.08475,11.8644,44.0678,,,,,108,6.48921,1978,75.56451613,43.85369167,32.62632939,2.944180737,67.5628,13.6918,13.5449,3.70207,12.9426,40.6346,24.0782,22.3446,,,,1,,,,,,,72.1834,16.4937,13.0402,,0.0857081637,,,,,,,,1.49846,665,354,535,,60,146.4577657,0.8411944962,154,2,3584,14.73607038
Oldtown/Middle East,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$14,105",67.1673,11.5679,9.14361,3.55731,8.56,,51.3951,69.763365," $ 149,900 ",35,51,37.4,0.8005,24.8,,5.2 ,"1,499",40,0,,5.34,0.00,,34.6457,44.3162,11.34089393,249.4996664,23.34889927,3.11121,82.6265,,26.644,54.6852,,,,,NA,0.399162,NA,NA,NA,,,,759,333,452,,96.44,0.71,2.20,15.9420,15.0150,48.2301,,,,,,36.42,50.34,32.03,65.63,16.83,47.52,39.58333333,46.72897196,41.66666667,27.82608696,2.212389381,79.12087912,,7.713498623,,,,68.84057971,50.44510386,87.18,85.25641026,48.07692308,231,0.0,,21.0379,,,0.4989522004,,,,,72.0,11.6,2.0,9.7,26.6,151.4,404.5,1103.4,,,,,,,486.6779762,2.893922762,5.189102884,0.7983,156,,39.015,14.9773,46.0077,27.7397,33.16,51.54,15.3,491,19.55193483,475,16968,437,65.25946811,,,0.498952,5.05263,16.8421,38.9474,,,,,359,35.8248,6457,72.09580838,30.10335917,38.51910987,3.592455843,33.0995,5.61157,35.0285,23.2793,27.7948,18.8514,23.0601,30.2937,,,,3,,,,,,,49.3017,46.5876,71.5942,,0.6004002668,,,,,,,,2.98115,747,327,444,,53,80.52101835,0.8981139607,158,8,27526,89.68729208
Orangeville/East Highlandtown,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$40,431",32.1164,17.1267,18.8186,10.1811,21.76,,12.2575,21.814931," $ 90,000 ",37,155,50.0,1.3400,1.6,,2.5 ,"3,806",47.8992,0.8403361345,,0.53,37.05,,40.1544,54.9451,1.050972149,396.7419863,77.24645297,5.95184,81.0426,,18.9464,60.8915,,,,,NA,0.328551,NA,NA,NA,,,,724,296,375,,21.15,19.64,56.63,11.7403,13.5135,38.9333,,,,,,49.23,52.68,39.68,74.38,30.30,57.63,39.43661972,47.87234043,58.44155844,23.40425532,3.2,81.96721311,,5.256940343,,,,87.28522337,65.65656566,87.22,88.10572687,45.37444934,175,0.0,,5.34785,,,2.518891688,,,,,72.3,9.8,0.0,11.5,16.5,146.9,404.8,1526.3,,,,,,,350.5640127,0.9856532691,1.971306538,0.8761,61,,65.2814,7.15775,27.5608,9.88104,38.79,50.83,10.38,624,12.33974359,567,7615,527,64.42080378,,,0.328551,6.17284,13.5802,33.5097,,,,,317,34.7169,3075,56.58387679,28.93575282,106.341036,5.366334465,49.5472,22.0785,19.6205,7.15826,13.7128,35.6404,29.2367,21.4101,,,,1,,,,,,,64.3514,20.2731,26.0908,,0.07882291119,,,,,,,,1.59552,682,273,341,,44,102.7795734,2.190340598,224,10,15337,88.38629111
Patterson Park North & East,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$56,652",24.6052,10.6064,17.0404,7.44785,40.30,,26.0021,39.727220," $ 172,000 ",28,441,46.8,1.5995,3.6,,4.9 ,"6,377",31.5508,1.336898396,,0.16,0.47,,27.7411,51.3301,29.6377607,317.233809,39.98745492,12.64934,79.4556,,22.407,56.6362,,,,,NA,0.137466,NA,NA,NA,,,,925,491,562,,61.07,6.12,30.54,14.7027,16.2933,43.7722,,,,,,50.00,51.40,44.67,73.65,23.19,50.00,40.18691589,52.5,47,20.58823529,1.601423488,81.39534884,,6.531816266,,,,93.39130435,87.06467662,87.61,90.33232628,45.61933535,401,0.0,,9.43597,,,1.237198433,,,,,72.6,10.8,0.8,12.1,16.3,134.6,404.1,1393.4,,,,,,,473.4346003,1.855797649,0.343666231,0.1375,7,,67.2841,7.39923,25.1727,9.90748,22.27,37.9,39.83,157,7.006369427,206,1311,197,59.80498375,,,0.0687332,7.28155,15.0485,40.7767,,,,,140,9.62265,627,73.20134347,31.71939145,162.4853942,4.467661008,60.636,12.8793,14.796,8.32002,15.3187,38.2024,29.4323,17.0466,,,,43,,,,,,,68.7463,23.5523,26.048,,0.07840677435,,,,,,,,3.36867,880,476,525,,262,260.3576101,0.4811327239,23,2,1064,56.83224324
Penn North/Reservoir Hill,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$33,264",40.3525,18.3913,19.9277,5.85179,15.48,,31.1010,47.183351," $ 65,000 ",36,137,35.7,2.3794,15.8,,2.0 ,"2,984",62.1951,2.43902439,,2.35,0.00,,42.5885,52.4746,21.11260054,278.150134,27.8150134,19.32647,59.578,,17.2735,41.0633,,,,,NA,0.51717,NA,NA,NA,,,,641,330,454,,97.05,1.19,1.05,14.3526,14.5455,49.7797,,,,,,34.55,44.90,50.00,83.33,26.00,44.55,33.92857143,45.61403509,66.17647059,29.62962963,1.982378855,78.0952381,,8.973607038,,,,81.93343899,58.82352941,85.61,91.36690647,49.64028777,130,0.0,,16.5398,,,0.6206040546,,,,,71.3,9.4,2.2,10.3,42.3,126.5,418.5,1421.1,,,,,,,448.9035995,1.965246173,4.033926355,0.3103,21,,50.1243,12.8867,36.9889,20.4516,19.64,56.13,24.23,142,11.26760563,275,2195,262,52.66203704,,,0.103434,10.1818,18.5455,41.8182,,,,,204,21.1005,1262,81.1501161,36.5258374,68.26644601,2.2755482,49.3377,17.4945,24.7241,4.30464,18.0739,36.6722,23.8962,21.3576,,,,58,,,,,,,60.2124,33.371,43.3348,,0.03351206434,,,,,,,,4.13907,625,329,443,,292,195.748731,0.8274720728,33,4,923,94.11282612
Pimlico/Arlington/Hilltop,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$32,410",40.7453,15.3292,20.7205,5.56522,17.64,,19.9070,41.002686," $ 30,000 ",48,79,51.9,2.1967,14.2,,1.4 ,"3,915",66.2791,4.651162791,,1.53,0.51,,46.9402,53.343,0,173.1800766,57.98212005,14.84848,55.6872,,17.434,36.9837,,,,,NA,0.84631,NA,NA,NA,,,,695,443,550,,97.69,1.07,0.71,15.1079,17.1558,46.3636,,,,,,35.11,55.56,31.91,74.47,27.01,59.42,35.82089552,50,40.42553191,23.4375,1.090909091,76.74418605,,8.973029046,,,,91.50227618,56.37254902,84.97,84.96732026,36.60130719,124,0.0,,12.9755,,,0.6770480704,,,,,68.2,23.2,1.0,18.3,49.9,166.1,422.2,1562.5,,,,,,,310.4265403,0.6770480704,0.930941097,0.3385,19,,51.6133,9.62708,38.7596,15.7201,26.46,66.71,6.83,210,11.42857143,348,3927,333,58.15454387,,,0.169262,6.6092,14.3678,41.3793,,,,,279,23.6121,3416,75.75657533,34.57292272,38.507109,5.67027759,51.926,8.5773,30.3544,6.95942,11.6076,39.3169,24.6276,24.4479,,,,4,,,,,,,66.9068,20,44.0248,,0.07662835249,,,,,,,,2.18285,673,435,530,,,178.2945736,0.7616790792,69,2,6129,73.73170463
Poppleton/The Terraces/Hollins Market,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$17,228",61.9875,13.7,9.64785,5.1616,9.50,,52.1940,71.597168," $ 73,600 ",27,44,30.3,2.5679,16.4,,1.7 ,"1,363",45.4545,6.060606061,,9.54,2.20,,43.0605,55.6475,30.08070433,131.327953,9.537784299,10.29248,81.9898,,22.2179,58.7888,,,,,NA,0.196618,NA,NA,NA,,,,361,177,251,,96.32,2.41,1.14,23.8227,27.6836,49.4024,,,,,,26.76,44.16,28.89,69.81,18.18,48.15,35,44.06779661,45.65217391,15.2173913,3.585657371,76.36363636,,9.691160809,,,,88.30409357,47.61904762,81.69,78.87323944,52.11267606,,,,22.6328,,,1.376327173,,,,,68.8,12.8,2.0,10.6,23.3,198.9,478.4,1500.0,,,,,,,389.3039717,2.162799843,1.179709005,0.3932,6,,50.4658,12.7208,36.8134,20.1322,34.6,48.67,16.72,234,6.41025641,150,1265,142,66.85779817,,,0.393236,7.33333,24,43.3333,,,,,98,19.2686,690,77.08553326,30.61643836,86.70861188,2.35941801,45.478,5.23256,25.7752,21.3824,21.0594,38.5659,15.7623,24.6124,,,,19,,,,,,,61.2156,33.864,58.9484,,0.5135730007,,,,,,,,2.13178,358,171,247,,13,83.97397989,0.393236335,6,5,1024,82.62935586
Sandtown-Winchester/Harlem Park,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$24,374",51.3013,13.9773,16.0594,8.07789,10.58,,33.2543,51.975988," $ 18,000 ",39,88,30.3,1.2052,35.0,,1.0 ,"6,057",93.2039,0.9708737864,,4.79,0.00,,38.8707,52.368,0.4952947003,115.2385669,10.23609047,16.24427,63.1042,,20.4753,41.8904,,,,,NA,0.268528,NA,NA,NA,,,,1136,560,742,,98.61,0.37,0.82,18.7500,15.7143,46.0916,,,,,,38.04,46.35,32.31,60.51,20.00,44.44,43.62416107,45.61403509,44.14414414,29.33333333,1.886792453,77.41935484,,9.660483024,,,,84.44948922,60.31746032,85.77,83.7398374,34.95934959,248,2.8,,24.1788,,,1.409774436,,,,,70.0,7.4,2.1,19.8,43.7,161.0,430.7,1131.5,,,,,,,414.2051557,1.611170784,0.738453276,0,,,47.6403,13.6088,38.7509,22.2188,28.79,65.08,6.13,190,3.684210526,257,1559,239,48.70067372,,,0,6.22568,17.5097,40.856,,,,,195,13.0908,829,75.7959479,29.73747017,111.2379162,4.095059076,41.4904,9.7281,43.7462,2.43706,13.575,30.5539,21.7724,34.0987,,,,74,,,,,,,65.7991,26.6628,56.3331,,0.3301964669,,,,,,,,2.59819,1112,552,739,,270,78.12971342,0,0,6,1116,107.5434153
South Baltimore,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$88,487",11.8563,6.0712,14.4946,9.98093,57.60,,4.2857,5.124654," $ 289,900 ",23,299,70.9,0.6200,0.5,,5.5 ,"3,387",14.2857,0.4081632653,,1.48,21.85,,30.2128,35.3974,3.247711839,340.4192501,47.829938,3.72578,49.7971,,2.34155,47.1433,,,,,NA,,NA,NA,NA,,,,151,55,50,,7.03,87.89,2.73,7.9470,20.0000,36.0000,,,,,,82.61,86.96,57.89,94.74,50.00,85.00,87.5,86.66666667,81.81818182,33.33333333,8,90.90909091,,1.226993865,,,,77.19298246,15.38461538,92.06,92.85714286,73.80952381,137,0.0,,0.451128,,,3.278176709,,,,,77.1,1.6,4.0,2.7,8.5,76.6,360.4,1850.7,,,,,,,299.7190134,1.404932875,0.468310958,0.6244,55,,83.7197,6.30206,9.68852,7.0006,10.59,29.3,60.11,255,24.31372549,281,12339,251,67.75947794,,,0.468311,4.98221,14.5907,42.7046,,,,,180,28.0987,10667,92.51178216,41.54716981,32.00124883,2.965969404,79.9604,7.20721,4.46056,6.43815,23.2257,36.4755,25.379,14.9198,,,,1,,,,,,,73.4266,22.028,10.1399,,0.02952465309,,,,,,,,1.93364,145,52,48,,43,14.42307692,1.873243834,853,1,7052,21.29516495
Southeastern,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$32,102",38.4583,22.2874,15.8777,8.00168,15.37,,25.6429,53.250975," $ 75,000 ",65,69,63.1,1.9661,1.9,,1.3 ,"1,831",57.8125,1.5625,,1.09,0.00,,44.4145,54.2982,1.09229929,515.0191152,93.3915893,6.55113,83.7061,,12.4601,70.2875,,,,,NA,0.319489,NA,NA,NA,,,,423,185,187,,48.18,18.74,30.19,4.4917,7.5676,44.9198,,,,,,45.24,51.85,33.93,78.18,29.79,57.45,60,48.8372093,70,24,1.604278075,72.72727273,,6.932773109,,,,95.97701149,63.10679612,87.93,89.65517241,49.13793103,65,0.0,,7.78571,,,2.555910543,,,,,73.8,8.9,3.6,2.3,24.6,128.5,365.8,1293.2,,,,,,,219.3290735,0.6389776358,,0.4792,48,,57.1043,8.94111,33.6305,13.5378,31.73,56.07,12.21,438,22.83105023,424,8056,389,61.83727482,,,0.638978,7.78302,18.3962,40.0943,,,,,205,32.7476,3488,57.36546852,27.77978993,29.07348243,4.153354633,67.2842,7.84983,16.2847,6.58216,23.7445,33.1546,27.7913,15.3096,,,,2,,,,,,,75.1152,19.0616,33.473,,0,,,,,,,,1.99902,393,178,162,,,106.1403509,2.236421725,278,0,13218,84.97818408
Southern Park Heights,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"$26,015",48.3745,19.4856,13.7654,6.74897,11.63,,36.5534,52.925810," $ 19,900 ",47,82,44.1,2.3075,19.6,,1.4 ,"3,987",80.4348,0,,2.76,1.00,,44.2248,58.2884,0.2508151492,232.7564585,36.61901179,16.89337,51.5658,,17.1635,33.8001,,,,,NA,0.752785,NA,NA,NA,,,,890,457,636,,96.72,0.71,1.77,23.2584,18.1619,43.5535,,,,,,39.88,50.00,26.24,56.03,30.28,53.90,49.29577465,46.97986577,59.61538462,30.63063063,2.044025157,80.68965517,,8.262711864,,,,71.75,40.96834264,86.82,84.09090909,40,164,0.0,,13.4933,,,0.6022282445,,,,,69.6,15.2,2.3,13.2,39.4,158.7,417.9,1536.2,,,,,,,318.8045769,0.7527853056,0.451671183,0.0753,10,,42.7516,14.8418,42.4066,25.77,28.2,62.57,9.23,175,5.714285714,228,1754,217,44.69273743,,,0,7.45614,17.5439,39.0351,,,,,155,11.6682,901,79.05419119,30.5648267,54.27582054,3.011141223,48.8647,10.0242,35.7246,4.44444,9.34783,36.401,25.942,28.3092,,,,21,,,,,,,68.8683,22.8395,45.0823,,0.1504890895,,,,,,,,0.942029,862,444,627,,62,158.0188679,0.4516711834,54,2,1156,47.08747717
